Atom Nr.1

Distance label: 47 		 Original label: 49
Distance label: 48 		 Original label: 50
Distance label: 49 		 Original label: 51
Distance label: 50 		 Original label: 52
Distance label: 51 		 Original label: 53
Distance label: 52 		 Original label: 54
Distance label: 53 		 Original label: 55
Distance label: 54 		 Original label: 56
Distance label: 55 		 Original label: 57
Distance label: 56 		 Original label: 58
Distance label: 57 		 Original label: 59
Distance label: 58 		 Original label: 60
Distance label: 59 		 Original label: 61
Distance label: 60 		 Original label: 62
Distance label: 61 		 Original label: 63
Distance label: 62 		 Original label: 64
Distance label: 63 		 Original label: 65
Distance label: 64 		 Original label: 66
Distance label: 65 		 Original label: 67
Distance label: 66 		 Original label: 68
Distance label: 67 		 Original label: 69
Distance label: 68 		 Original label: 70
Distance label: 69 		 Original label: 71
Distance label: 70 		 Original label: 73
Distance label: 71 		 Original label: 74
Distance label: 72 		 Original label: 75
Distance label: 73 		 Original label: 76
Distance label: 74 		 Original label: 77
Distance label: 75 		 Original label: 78
Distance label: 76 		 Original label: 79
Distance label: 77 		 Original label: 80
Distance label: 78 		 Original label: 81
Distance label: 79 		 Original label: 82
Distance label: 80 		 Original label: 83
Distance label: 81 		 Original label: 84
Distance label: 82 		 Original label: 85
Distance label: 83 		 Original label: 86
Distance label: 84 		 Original label: 87
Distance label: 85 		 Original label: 88
Distance label: 86 		 Original label: 89
Distance label: 87 		 Original label: 90
Distance label: 88 		 Original label: 91
Distance label: 89 		 Original label: 92
Distance label: 90 		 Original label: 93
Distance label: 91 		 Original label: 94
Distance label: 92 		 Original label: 95
Distance label: 93 		 Original label: 96
Distance label: 94 		 Original label: 97
Distance label: 95 		 Original label: 98
Distance label: 96 		 Original label: 99
Distance label: 97 		 Original label: 100
Distance label: 98 		 Original label: 101
Distance label: 99 		 Original label: 102
Distance label: 100 		 Original label: 103
Distance label: 101 		 Original label: 104
Distance label: 102 		 Original label: 105
Distance label: 103 		 Original label: 106
Distance label: 104 		 Original label: 109
Distance label: 105 		 Original label: 110
Distance label: 106 		 Original label: 111
Distance label: 107 		 Original label: 112
Distance label: 108 		 Original label: 113
Distance label: 109 		 Original label: 114
Distance label: 110 		 Original label: 115
Distance label: 111 		 Original label: 116
Distance label: 112 		 Original label: 117
